bairro_origem, bairro_destino, logradouro, observacao, peso
Engenho do Meio, Iputinga, Rua Governador Lopo Garro, , 1
Engenho do Meio, Cordeiro, Rua Lindolfo Color, , 1
Engenho do Meio, Torrões, Rua Carneiro de Mariz, , 1
Torrões, Cordeiro, Rua Dezesseis de Outubro, , 1
Cordeiro, Prado, Rua Gomes Taborda, , 1
Cordeiro, Zumbi, Rua Paraguassú, , 1
Cordeiro, Iputinga, Rua Bom Pastor, , 1
Cordeiro, Torre, Rua Cantora Clara Nunes, , 1
Zumbi, Torre, Rua Conselheiro Theodoro, , 1
Aflitos, Encruzilhada, Rua Carneiro Viléla, , 1
Aflitos, Espinheiro, Rua Quarenta e Oito, , 1
Mustardinha, Bongi, Avenida Manoel Gonçalves da Luz, , 1
Mustardinha, Mangueira, Rua Vinte e Um de Abril, , 1
Bongi, Prado, Rua Xavier Sobrinho, , 1
Bongi, Cordeiro, Avenida Engenheiro Abdias de Carvalho, , 1
Sítio dos Pintos, Dois Irmãos, Rua Professor Cláudio Selva, , 1
Dois Irmãos, Guabiraba, Estrada dos Macacos, , 2.65
Dois Irmãos, Córrego Do Jenipapo, Rua Almínio Afonso, , 1
Dois Irmãos, Apipucos, Rodovia Governador Mário Covas, , 1
Iputinga, Monteiro, Ponte Engenheiro Jaime Gusmão, , 1
Apipucos, Córrego do Jenipapo, Rua Araripe Júnior, , 1
Apipucos, Macaxeira, Rua Pedro de Toledo, , 1
Apipucos, Alto do Mandu, Rua Massaranduba, , 0.2715
Prado, Zumbi, Rua Frei Teófilo de Virgoletta, , 1
Prado, Ilha do Retiro, Rua Padre Gabriel Mousinho, , 0.3045
Ilha do Retiro, Paissandu, Rua do Paissandu, , 1
Ilha do Retiro, Ilha Joana Bezerra, Rua Prefeito Jorge Martins, , 1
Derby, Paissandu, Rua Viscondessa do Livramento, , 1
Paissandu, Ilha do Leite, Avenida Governador Agamenon Magalhães, , 1
Paissandu, Ilha Joana Bezerra, Ponte José de Barros Lima, , 0.4245
Torre, Santana, Rua Fernando Bemvindo da Fonseca, , 1
Torreão, Encruzilhada, Rua Padre Miguelinho, , 0.39
Torreão, Espinheiro, Rua Djalma Farias, , 0.21
Torreão, Campo Grande, Rua Cândido Lacerda, , 1
Campo Grande, Ponto de Parada, Rua Mem de Sá, , 1
Campo Grande, Arruda, Rua Jerônimo Vilela, , 0.93
Campo Grande, Peixinhos, Rua Jerusalém, , 1
Campo Grande, Hipódromo, Rua Mateus Tartaruga, , 1
Espinheiro, Encruzilhada, Rua José de Sá Carneiro, , 1
Encruzilhada, Rosarinho, Rua Amaro Coutinho, , 1
Encruzilhada, Ponto de Parada, Rua Basílio da Gama, , 1
Encruzilhada, Hipódromo, Rua Professor Miranda Curió, , 1
