lutador,grau
Jim Miller,34
Donald Cerrone,34
Jeremy Stephens,32
Demian Maia,32
Diego Sanchez,32
Andrei Arlovski,32
Clay Guida,30
Rafael Dos Anjos,29
Gleison Tibau,28
Matt Brown,27
Michael Bisping,27
Ross Pearson,26
Joe Lauzon,26
Thiago Alves,26
Nate Marquardt,25
Tim Boetsch,24
Charles Oliveira,24
Alex Caceres,24
Neil Magny,24
Josh Koscheck,24
Michael Johnson,24
Frank Mir,24
Ed Herman,24
Stefan Struve,24
Edson Barboza,23
Darren Elkins,23
Nate Diaz,23
Vitor Belfort,23
Lyoto Machida,23
Nik Lentz,23
Ovince Saint Preux,22
Anderson Silva,22
Chris Leben,22
Melvin Guillard,22
Rashad Evans,22
Tim Means,22
Dustin Poirier,22
Francisco Trinaldo,22
Thiago Santos,21
Dennis Siver,21
Jake Ellenberger,21
Evan Dunham,21
Patrick Cote,21
Frankie Edgar,21
Max Holloway,21
Gabriel Gonzaga,21
Derrick Lewis,21
Thales Leites,21
Yves Edwards,21
CB Dollaway,20
Cole Miller,20
Alistair Overeem,20
BJ Penn,20
Junior Dos Santos,20
Jon Jones,20
Glover Teixeira,20
Tito Ortiz,20
Yushin Okami,20
Robbie Lawler,20
Sam Alvey,20
Johny Hendricks,20
Jorge Masvidal,19
Anthony Pettis,19
Chris Lytle,19
Ryan Bader,19
Brad Tavares,19
Joshua Burkman,19
Mike Pyle,19
Roy Nelson,19
Randy Couture,19
Matt Hughes,19
Rick Story,19
Ben Saunders,19
Cheick Kongo,18
Chris Camozzi,18
Thiago Tavares,18
Tony Ferguson,18
Kelvin Gastelum,18
Beneil Dariush,18
Chuck Liddell,18
Derek Brunson,18
Dong Hyun Kim,18
David Abbott,18
Sam Stout,18
Iuri Alcantara,18
Alex Oliveira,18
Cub Swanson,18
Georges St-Pierre,17
Rani Yahya,17
Ricardo Lamas,17
Rafael Natal,17
Gray Maynard,17
Jon Fitch,17
Court McGee,17
Joseph Benavidez,17
John Makdessi,17
Fabricio Werdum,17
Mark Hunt,17
Dennis Bermudez,17
Anthony Johnson,17
Gian Villante,17
Kenny Florian,17
Matt Wiman,17
Rich Franklin,17
Mauricio Rua,17
Carlos Condit,17
Angela Hill,16
John Lineker,16
Kevin Lee,16
Martin Kampmann,16
Drew Dober,16
Dan Hooker,16
Brandon Vera,16
Jessica Andrade,16
John Dodson,16
Randa Markos,16
Urijah Faber,16
Travis Browne,16
Andre Fili,16
Marlon Vera,16
Joe Stevenson,16
Alexander Gustafsson,16
Gilbert Burns,16
Alessio Sakara,15
Jussier Formiga,15
Jake Matthews,15
Manvel Gamburyan,15
Ben Rothwell,15
Josh Neer,15
Robert Whittaker,15
Walt Harris,15
Renan Barao,15
Dan Henderson,15
Michael Chiesa,15
Spencer Fisher,15
Eddie Wineland,15
Stephen Thompson,15
Marcus Davis,15
Tim Elliott,15
Erick Silva,15
Mark Munoz,15
Louis Smolka,15
Cezar Ferreira,15
Aljamain Sterling,15
Evan Tanner,15
Chris Weidman,15
Mike Swick,15
Anthony Rocco Martin,15
Anthony Smith,15
Jorge Rivera,15
Uriah Hall,15
Matt Hamill,15
Danny Castillo,14
John Howard,14
Mike Pierce,14
Omari Akhmedov,14
Raphael Assuncao,14
Tyron Woodley,14
Vicente Luque,14
Demetrious Johnson,14
Jason MacDonald,14
Stipe Miocic,14
Nick Diaz,14
Jose Aldo,14
Li Jingliang,14
Sergio Pettis,14
Jacare Souza,14
Paul Felder,14
Sergio Moraes,14
Brad Pickett,14
Matt Mitrione,14
Alan Belcher,14
Tyson Griffin,14
Mike Perry,14
Bobby Green,14
Pedro Munhoz,14
John Moraga,14
Yancy Medeiros,14
Corey Anderson,14
Jessica Eye,14
James Vick,14
Takeya Mizugaki,14
Jan Blachowicz,14
Aleksei Oleinik,14
Paulo Thiago,13
Leon Edwards,13
Dan Miller,13
Patrick Cummins,13
Belal Muhammad,13
George Roop,13
Chris Cariaso,13
Krzysztof Jotko,13
Khabib Nurmagomedov,13
Daron Cruickshank,13
Benson Henderson,13
Ilir Latifi,13
James Krause,13
Takanori Gomi,13
Amanda Nunes,13
Chael Sonnen,13
Antonio Carlos Junior,13
Zak Cummings,13
Michel Prazeres,13
Colby Covington,13
Mark Bocek,13
Keith Jardine,13
Kamaru Usman,13
Rustam Khabilov,13
Igor Pokrajac,13
Nikita Krylov,13
Wilson Reis,13
Stephan Bonnar,13
Tecia Torres,13
Al Iaquinta,13
Alan Jouban,13
Gunnar Nelson,13
TJ Dillashaw,13
Kendall Grove,13
Chad Mendes,13
Dustin Ortiz,13
Quinton Jackson,13
Marcin Tybura,13
Karo Parisyan,13
Cortney Casey,13
Carla Esparza,12
Kurt Pellegrino,12
Marion Reneau,12
Kyle Noke,12
Joanne Calderwood,12
Pedro Rizzo,12
Thiago Silva,12
Rousimar Palhares,12
Ray Borg,12
Rory MacDonald,12
Cain Velasquez,12
Nordine Taleb,12
Jack Hermansson,12
Alex Morono,12
Santiago Ponzinibbio,12
Myles Jury,12
Phil Davis,12
Joe Riggs,12
Scott Jorgensen,12
Anthony Perosh,12
Mark Coleman,12
Matthew Riddle,12
Felipe Arantes,12
Olivier Aubin-Mercier,12
Matt Serra,12
Warlley Alves,12
Sean Sherk,12
Jeremy Horn,12
Pat Barry,12
Joanna Jedrzejczyk,12
Mac Danzig,12
Sara McMann,12
Gerald Meerschaert,12
Vladimir Matyushenko,12
Curtis Blaydes,12
Efrain Escudero,12
Sean Strickland,12
Sam Sicilia,12
Hector Lombard,12
Trevor Smith,12
Katlyn Chookagian,12
Yoel Romero,12
Eryk Anders,11
Max Griffin,11
Darren Stewart,11
Godofredo Pepey,11
Rogerio Nogueira,11
Ricardo Almeida,11
Elizeu Zaleski dos Santos,11
Bethe Correia,11
Dan Severn,11
Seth Baczynski,11
Tim Sylvia,11
Claudia Gadelha,11
Scott Holtzman,11
TJ Grant,11
Niko Price,11
Charlie Brenneman,11
Francis Ngannou,11
Henry Cejudo,11
Holly Holm,11
Marcos Rogerio de Lima,11
Brian Kelleher,11
Alexis Davis,11
Forrest Griffin,11
Devin Clark,11
Aaron Simpson,11
Fabio Maldonado,11
Stevie Ray,11
Conor McGregor,11
Chas Skelly,11
Elias Theodorou,11
Kevin Holland,11
Rob Font,11
Brendan Schaub,11
Amir Sadollah,11
Bryan Barberena,11
Raquel Pennington,11
Francisco Rivera,11
Gegard Mousasi,11
Keita Nakamura,11
Brian Stann,11
Wanderlei Silva,11
George Sotiropoulos,11
Daniel Cormier,11
Tom Lawlor,11
Terry Etim,11
Jimi Manuwa,11
Jared Cannonier,11
Alejandro Perez,11
Karolina Kowalkiewicz,11
Hermes Franca,11
Renato Moicano,10
Misha Cirkunov,10
Pat Miletich,10
Abel Trujillo,10
Darren Till,10
Deiveson Figueiredo,10
Brandon Moreno,10
Michelle Waterson,10
Gabriel Benitez,10
Daniel Kelly,10
Frankie Saenz,10
Diego Ferreira,10
Alex White,10
Lorenz Larkin,10
Yves Jabouin,10
Dhiego Lima,10
Antonio Rodrigo Nogueira,10
Ramsey Nijem,10
Josh Barnett,10
Chad Laprise,10
Mirsad Bektic,10
Alexandre Pantoja,10
Valentina Shevchenko,10
Paul Craig,10
Bryan Caraway,10
DaMarques Johnson,10
Dan Hardy,10
Joey Beltran,10
Ryan LaFlare,10
Khalil Rountree Jr.,10
James Irvin,10
Shawn Jordan,10
Enrique Barzola,10
James Te Huna,10
Alex Garcia,10
Roxanne Modafferi,10
Danny Roberts,10
Jimmie Rivera,10
Matt Lindland,10
Royce Gracie,10
Jacob Volkmann,10
Lauren Murphy,10
Wilson Gouveia,10
Diego Brandao,10
Israel Adesanya,10
Randy Brown,10
Constantinos Philippou,10
Erik Koch,10
Rich Clementi,10
Dustin Hazelett,10
Mirko Filipovic,10
Anthony Hamilton,10
Peter Sobotta,10
Dan Ige,9
Marc Diakiese,9
Luigi Fioravanti,9
Liz Carmouche,9
Erik Perez,9
Joe Doerksen,9
Jordan Mein,9
Jon Tuck,9
Yuta Sasaki,9
Tamdan McCrory,9
Daniel Omielanczuk,9
Chan Sung Jung,9
Thomas Almeida,9
Brian Ortega,9
Norman Parke,9
Miesha Tate,9
Renato Sobral,9
Caol Uno,9
Kyung Ho Kang,9
Jonathan Goulet,9
Din Thomas,9
Luke Rockhold,9
Alexander Yakovlev,9
Makwan Amirkhani,9
Kyle Kingsbury,9
Alexander Volkov,9
Andrew Sanchez,9
Antonio Silva,9
Alessio Di Chirico,9
Michael McDonald,9
Cody Garbrandt,9
Gillian Robertson,9
Lando Vannata,9
Leonardo Santos,9
Paige VanZant,9
Justin Scoggins,9
Daniel Pineda,9
Sarah Moras,9
Jason Knight,9
