lutador,grau
Marc-Andre Barriault,4
Markus Perez,7
Ryan Janes,4
Trevor Smith,12
Wellington Turman,3
Jon Hess,1
Andy Anderson,1
Clint Hester,7
Andy Enz,3
Marcelo Guimaraes,4
Charles Oliveira,24
Josh Grispi,4
Makwan Amirkhani,9
Andy Wang,1
Ariane Carnelossi,1
Angela Hill,16
Claudia Gadelha,11
Cortney Casey,13
Emily Kagan,2
Hannah Cifers,7
Jessica Andrade,16
Jodie Esquibel,4
Maryna Moroz,8
Michelle Waterson,10
Nina Ansaroff,7
Rose Namajunas,8
Tecia Torres,13
Yan Xiaonan,6
Anistavio Medeiros,1
Josh Koscheck,24
Ansar Chalangov,2
Anthony Birchak,5
Dileno Lopes,2
Joe Soto,8
Anthony Christodoulou,2
Damian Grabowski,3
Daniel Spitz,4
Marcel Fortuna,3
Ruan Potts,3
Todd Duffee,6
Junyong Park,3
Anthony Hernandez,4
Rodolfo Vieira,3
Bryan Barberena,11
Anthony Ivy,2
Christian Aguilera,2
Chad Reiner,2
Kevin Burns,4
Luigi Fioravanti,9
Rich Clementi,10
Rogerio Nogueira,11
Ryan Bader,19
Tommy Speer,2
Yoshiyuki Yoshida,5
Jason High,5
Dan Severn,11
Anthony Macias,2
Oleg Taktarov,7
Danny Castillo,14
Edson Barboza,23
Rafael Dos Anjos,29
Vinc Pichel,8
Christian Wellisch,5
Anthony Perosh,12
Gian Villante,17
Guto Inocente,2
Jeff Monson,7
Mirko Filipovic,10
Nick Penner,2
Ryan Jimmo,7
Sean O'Connell,7
Tom Blackledge,1
Vinny Magalhaes,5
Benson Henderson,13
Clay Guida,30
Diego Ferreira,10
Eddie Alvarez,7
Gilbert Melendez,7
Jeremy Stephens,32
Stephen Thompson,15
Fabricio Camoes,6
Felipe Olivieri,1
Johnny Case,6
Rashid Magomedov,6
Sergio Moraes,14
Antonio Braga Neto,3
Elvis Mutapcic,3
Hector Lombard,12
Leonardo Guimaraes,2
Rashad Evans,22
Jess Liaudin,5
Anthony Torres,2
Pat Healy,6
Anton Kuivanen,3
Anton Zafir,2
Li Jingliang,14
Cheick Kongo,18
Antoni Hardonk,8
Colin Robinson,2
Eddie Sanchez,6
Justin McCully,4
Mike Wessel,1
Pat Barry,12
Sherman Pendergarst,1
Antonina Shevchenko,5
Ariane Lipski,5
Lucie Pudilova,7
Deron Winn,4
Miguel Torres,4
Antonio Banuelos,1
Trevin Giles,7
Antonio Carlos Junior,13
Daniel Kelly,10
Eddie Gordon,4
Ian Heinisch,6
Jack Marshman,8
Kevin Casey,7
Patrick Cummins,13
Tim Boetsch,24
Antonio Carvalho,4
Daniel Pineda,9
Daniel Sarafian,6
Antonio Dos Santos,2
Scott Askham,6
Jacob Volkmann,10
Antonio McKee,1
Antonio Mendes,2
Antonio Rodrigo Nogueira,10
Cain Velasquez,12
Dave Herman,5
Heath Herring,5
Randy Couture,19
Soa Palelei,7
Colby Covington,13
Isabela de Padua,1
Luana Carolina,2
Molly McCann,6
Ariel Beck,1
Shana Dobson,6
Juan Adams,4
Luis Henrique,6
Marcelo Golm,4
Davi Ramos,7
Arman Tsarukyan,4
Matt Frevola,5
Mads Burnell,3
Yaotzin Meza,7
Chris Avila,2
Cub Swanson,18
Ryan Hall,4
Teruto Ishihara,9
Dave Beneteau,5
Asbel Cancio,1
John Moraga,14
Ashkan Mokhtarian,2
Ryan Benoit,8
Bec Rawlings,7
Ketlen Vieira,7
Norma Dumont,2
Justine Kish,6
Syuri Kondo,4
Aspen Ladd,5
Lina Lansberg,8
Sijara Eubanks,8
Tonya Evinger,3
Yana Kunitskaya,6
Brandon Vera,16
Assuerio Silva,3
Cody Garbrandt,9
Frankie Saenz,10
Augusto Montano,3
Cathal Pendred,6
Chris Heatherly,2
Blagoy Ivanov,5
Chase Sherman,8
Austin Arnett,4
Hakeem Dawodu,6
Humberto Bandenay,4
Austin Hubbard,5
Joe Solecki,2
Kyle Prepolec,2
Mark Madsen,2
Max Rohskopf,1
Jacob Kilburn,2
Austin Lingo,2
Youssef Zalal,5
Ivan Menjivar,9
Azamat Gashimov,2
Azunna Anyanwu,1
BJ Penn,20
Caol Uno,9
Din Thomas,9
Frankie Edgar,21
Georges St-Pierre,17
Joe Stevenson,16
Joey Gilbert,1
Matt Hughes,19
Matt Serra,12
Paul Creighton,1
Rory MacDonald,12
Sean Sherk,12
Barb Honchak,2
Bart Palaszewski,4
Diego Nunes,6
Hatsu Hioki,8
Tyson Griffin,14
Emil Meek,4
Hector Urbina,3
Michel Prazeres,13
Bas Rutten,2
Kevin Randleman,7
Tsuyoshi Kohsaka,6
Batgerel Danaa,2
Guido Cannetti,6
Heili Alateng,3
Bea Malecki,2
Duda Santana,1
Jessica-Rose Clark,5
Lisa Ellis,2
Seo Hee Ham,4
Chance Rencountre,4
Curtis Millender,5
Dhiego Lima,10
Geoff Neal,6
Randy Brown,10
Takashi Sato,4
Ben Alloway,3
Manuel Rodriguez,1
Ben Askren,3
Ben Earwood,1
Chris Lytle,19
Gabriel Gonzaga,21
Gilbert Yvel,3
Matt Mitrione,14
Brandon Wolff,2
Dan Barrera,1
Dennis Hallman,9
Jake Ellenberger,21
Joe Riggs,12
Marcus Davis,15
Matt Brown,27
Ryan Thomas,2
Ben Sosoli,2
Drakkar Klose,7
Evan Dunham,21
Frank Camacho,7
Benji Radach,3
Nick Serra,1
Steve Berger,3
Brandon Thatch,6
Josh Thomson,7
Bentley Syler,1
Fredy Serrano,4
Henry Martinez,3
Bernardo Magalhaes,2
Papy Abedi,4
Besam Yousef,2
Simeon Thoresen,3
Bethe Correia,11
Irene Aldana,9
Jessamyn Duke,4
Julie Kedzie,2
Pannie Kianzad,5
Bevon Lewis,4
Darren Stewart,11
Dequan Townsend,4
Bharat Kandare,1
Jenel Lausa,4
Bibulatov Magomed,3
Rogerio Bontorin,4
Ricardo Lamas,17
Bill Algeo,2
Bill Mahood,1
George Sotiropoulos,11
Billy Miles,1
Gavin Tucker,6
Billy Quarantillo,4
Kyle Nelson,4
Bob Cook,1
Tiki Ghosn,4
Carlos Newton,6
Bob Gilstrap,1
Erik Koch,10
Lando Vannata,9
Bobby Hoffman,3
Mark Robinson,1
Maurice Smith,7
Bobby Moffett,3
Chas Skelly,11
Enrique Barzola,10
Danny Roberts,10
Bobby Nash,3
Sam Hoger,5
Bobby Southworth,1
Bobby Voelker,4
Lance Benoist,4
William Macario,4
Joachim Christensen,4
Darren Till,10
Michael Graves,3
Sultan Aliev,4
Boston Salmon,2
Khalid Taha,4
Randy Costa,3
Edgar Garcia,4
James Giboo,1
Ryo Chonan,4
Brad Gumm,2
CJ Fernandes,1
Dan Christison,2
Brad Imes,3
Brad Katona,4
Hunter Azure,3
Jay Cucciniello,1
Merab Dvalishvili,7
Brad Kohler,2
Steve Judson,2
Tra Telligman,4
Brad Morris,2
Jason Brilz,7
Brad Pickett,14
Chico Camus,8
Ian McCall,5
Mike Easton,7
Yves Jabouin,10
Jamie Mullarkey,2
Magomed Mustafaev,5
Brad Scott,8
Claudio Silva,6
Dylan Andrews,5
Michael Kuiper,4
Robert Whittaker,15
Caio Magalhaes,7
Dongi Yang,5
Edmen Shahbazyan,5
Elias Theodorou,11
Riki Fukuda,5
Robert McDaniel,3
Tom Watson,7
Yoel Romero,12
Jason Lambert,8
Branden Lee Hinkle,3
Sean Gannon,1
Brandon Davis,7
Giga Chikadze,5
Kyle Bochniak,7
Zabit Magomedsharipov,6
Brandon Melendez,1
Brandon Royval,3
Kai Kara-France,7
Justin Edwards,7
Paulo Thiago,13
Siyar Bahadurzada,8
Eliot Marshall,6
Fabiano Scherner,2
Keith Jardine,13
Michael Patt,2
Reese Andy,2
Brendan Allen,4
Kyle Daukaus,2
Tom Breese,8
Brendan Loughnane,1
Mike Wilkinson,4
Dong Hyun Ma,8
Vik Grujic,4
Zhang Lipeng,4
Chase Gormley,2
Chris Tuchscherer,4
Lavar Johnson,4
Kwan Ho Kwak,2
Tony Gravely,2
Brian Bowles,4
George Roop,13
Chad Laprise,10
Brian Camozzi,3
Terry Etim,11
Brian Cobb,1
Brian Ebersole,8
Claude Patrick,4
James Head,5
John Howard,14
Rick Story,19
Brian Foster,5
Brock Larson,6
Forrest Petz,7
Brian Gassaway,1
Matt Wiman,17
Brian Geraghty,1
Brian Houston,2
Dan Bobish,2
Brian Johnston,6
Ken Shamrock,9
Mark Coleman,12
Reza Nasri,1
Scott Fiedler,1
Brian Kelleher,11
Damian Stasiak,6
Ode Osbourne,2
Ray Rodriguez,2
Ricky Simon,8
Kelvin Gastelum,18
Brian Melancon,2
Brian Ortega,9
Chan Sung Jung,9
Diego Brandao,10
Mike de la Torre,7
Renato Moicano,10
Thiago Tavares,18
Mike Massenzio,7
Rodney Wallace,3
Steve Cantwell,6
Wanderlei Silva,11
Brianna Van Buren,2
Bristol Marunde,2
Viscardi Andrade,4
Brock Jardine,2
Jesse Sanders,1
Shane Carwin,6
Brodie Farber,2
Rory Markham,3
Brok Weaver,3
Jalin Turner,5
Bruno Rodrigues,1
Matheus Nicolau,5
Chris Camozzi,18
Bruno Santos,3
Bruno Silva,4
David Dvorak,2
JP Buys,1
Tagir Ulanbekov,1
Joe Ellenberger,2
Joe Proctor,8
Sage Northcutt,8
Dustin Neace,1
Erik Perez,9
Johnny Bedford,5
Mitch Gagnon,8
Charles Rosa,9
Matt Sayles,3
Tyler Diamond,1
Bubba Bush,2
Buddy Roberts,2
Byron Bloodworth,2
Francis Carmont,9
Goran Reljic,4
Jason Miller,3
Jay Silva,2
Jesse Taylor,2
Joe Doerksen,9
Khalid Murtazaliev,1
Lyoto Machida,23
CJ Keith,2
CM Punk,2
Mickey Gall,8
Mike Jackson,2
Chris Wade,7
Cain Carrizosa,2
Leonardo Mafra,4
Denis Stojnic,2
Josh Samman,5
Karlos Vemola,6
Luke Zachrich,3
Nick Ring,6
David Abbott,18
Cal Worsham,3
Paul Varelans,8
Zane Frazier,1
Tim Credeur,5
Cale Yarbrough,1
Callan Potter,3
Maki Pitolo,5
Chris Fishgold,4
Dan Ige,9
Shane Burgos,8
Jason Dent,4
Cameron Dollar,1
Kyler Phillips,3
Cameron Else,1
Fabiano Iha,6
Hermes Franca,11
Joanna Jedrzejczyk,12
Juliana Lima,7
Virna Jandiroba,4
Erick Silva,15
Carlo Prater,3
TJ Grant,11
Carlos Barreto,1
Tyron Woodley,14
Carlos Eduardo Rocha,3
Kris McCray,3
Carlos Felipe,3
Justin Tafa,3
Serghei Spivac,5
Yorgan De Castro,3
Carlos Huachin,2
Raoni Barcelos,5
Pete Spratt,7
Renato Verissimo,3
Kennedy Nzechukwu,3
Carlos Ulberg,1
Naoki Inoue,2
Christos Giagos,8
Carlton Minus,2
Matthew Semelsberger,2
Carmelo Marrero,4
Sam Stout,18
Caros Fodor,1
Dominick Cruz,7
Casey Kenney,7
Ray Borg,12
Casey O'Neill,1
Julianna Pena,8
Gasan Umalatov,4
Mike King,1
Cesar Arzamendia,2
Marco Polo Reyes,8
Karl Roberson,7
Chad Griggs,2
Galore Bofando,2
Yosdenis Cedeno,4
Conor McGregor,11
Michihiro Omigawa,7
Rani Yahya,17
Dan Miller,13
Jeremy Horn,12
Renato Sobral,9
Trevor Prangley,4
Mark Hominick,7
JJ Aldrich,8
Chan-Mi Jeon,2
Ismail Naurdiev,4
Kyle Stewart,2
Charles Byrd,4
Desmond Green,7
Dooho Choi,6
Josh Culibao,2
Marcelo Rojo,1
David Loiseau,9
Charles McCarthy,3
Gideon Ray,3
David Teymur,6
Efrain Escudero,12
Eric Wisely,2
Jared Gordon,8
Jonathan Brookins,5
Darrick Minner,3
Kevin Aguilar,5
Sean Soriano,3
Daniel Roberts,7
Leandro Silva,8
Charlie Ontiveros,1
Charlie Valencia,1
Edimilson Souza,4
Jordan Griffin,4
Mirsad Bektic,10
Tom Niinimaki,4
Daniel Teymur,5
Peter Barrett,2
Ike Villanueva,3
Rashad Coulter,4
Chris Cope,3
Che Mills,4
Matthew Riddle,12
Dan Evensen,2
Gilbert Aldana,2
Mostapha Al-Turk,3
Shawn Jordan,10
Cheyanne Buys,1
Montserrat Conejo,1
Chris Holdsworth,2
Dustin Kimura,5
Dustin Pague,6
Henry Cejudo,11
Chris Kelades,4
Chris Beal,5
Tateki Matsuda,2
Gil Castillo,3
Chris Brennan,2
Dustin Jacoby,4
Jacare Souza,14
James Hammortree,1
Luiz Cane,9
Nick Catone,8
Chris Cariaso,13
Danny Martinez,4
Iliarde Santos,3
Josh Ferguson,2
Vaughan Lee,8
Will Campuzano,4
Keith Wisniewski,4
Chris Clements,5
Nordine Taleb,12
Chris Condo,1
Chuck O'Neil,1
Parker Porter,2
Rodrigo Nascimento,2
Chris Dempsey,4
Ilir Latifi,13
Jonathan Wilson,4
Cody Durden,2
Geraldo de Freitas,3
Ryan MacDonald,2
Evan Tanner,15
Chris Haseman,1
Davey Grant,7
Chris Indich,2
Paddy Holohan,5
Edwin DeWees,3
Jake Rosholt,3
Jason Thacker,1
Jorge Rivera,15
Terry Martin,6
Keith Rockel,2
Chris Liguori,1
Jason Gilliam,2
Karo Parisyan,13
Kyle Bradley,4
Paul Taylor,9
Ronald Jhun,1
Chris Price,2
Chris Sanford,1
Chris Saunders,1
Chris Tickle,1
Tim Hague,5
Frankie Perez,4
Mehdi Baghdad,2
Dominick Reyes,8
Gegard Mousasi,11
Jesse Bongfeldt,2
Luke Rockhold,9
Chris Wilson,4
Steve Bruno,3
Sean Brady,4
Jarjis Danho,2
Christian Colombo,3
Christian Morecraft,4
Sean McCorkle,3
Scott Junk,1
Christina Marks,1
Guy Mezger,4
Christophe Leninger,2
Jorge de Oliveira,2
Murilo Bustamante,4
Noe Hernandez,1
Paul Jones,2
Quinton Jackson,13
Tito Ortiz,20
Vernon White,2
Ciryl Gane,5
Don'Tale Mayes,3
Raphael Pessoa,3
