R_fighter;B_fighter;Winner;win_by;peso_forca_vitoria
Alen Amedovski;John Phillips;John Phillips;KO/TKO;0.5
Nicolas Dalby;Alex Oliveira;Nicolas Dalby;Decision - Unanimous;1.0
Gunnar Nelson;Gilbert Burns;Gilbert Burns;Decision - Unanimous;1.0
Jack Hermansson;Jared Cannonier;Jared Cannonier;KO/TKO;0.5
Mark Madsen;Danilo Belluardo;Mark Madsen;KO/TKO;0.5
Alessio Di Chirico;Makhmud Muradov;Makhmud Muradov;Decision - Unanimous;1.0
Siyar Bahadurzada;Ismail Naurdiev;Ismail Naurdiev;Decision - Unanimous;1.0
Macy Chiasson;Lina Lansberg;Lina Lansberg;Decision - Unanimous;1.0
Brandon Davis;Giga Chikadze;Giga Chikadze;Decision - Split;1.0
Marc Diakiese;Lando Vannata;Marc Diakiese;Decision - Unanimous;1.0
Jack Shore;Nohelin Hernandez;Jack Shore;Submission;0.5
Martin Bravo;Steven Peterson;Steven Peterson;KO/TKO;0.5
Jose Quinonez;Carlos Huachin;Jose Quinonez;Decision - Unanimous;1.0
Carla Esparza;Alexa Grasso;Carla Esparza;Decision - Majority;1.0
Ariane Carnelossi;Angela Hill;Angela Hill;TKO - Doctor's Stoppage;0.5
Marco Polo Reyes;Kyle Nelson;Kyle Nelson;KO/TKO;0.5
Brandon Moreno;Askar Askarov;;Decision - Split;1.0
Irene Aldana;Vanessa Melo;Irene Aldana;Decision - Unanimous;1.0
Yair Rodriguez;Jeremy Stephens;;Could Not Continue;2.0
Vinicius Moreira;Paul Craig;Paul Craig;Submission;0.5
Claudio Puelles;Marcos Mariano;Claudio Puelles;Decision - Unanimous;1.0
Sijara Eubanks;Bethe Correia;Bethe Correia;Decision - Unanimous;1.0
Sergio Pettis;Tyson Nam;Sergio Pettis;Decision - Unanimous;1.0
Donald Cerrone;Justin Gaethje;Justin Gaethje;KO/TKO;0.5
Misha Cirkunov;Jimmy Crute;Misha Cirkunov;Submission;0.5
Cole Smith;Miles Johns;Miles Johns;Decision - Split;1.0
Marcin Tybura;Augusto Sakai;Augusto Sakai;KO/TKO;0.5
Uriah Hall;Antonio Carlos Junior;Uriah Hall;Decision - Split;1.0
Glover Teixeira;Nikita Krylov;Glover Teixeira;Decision - Split;1.0
Todd Duffee;Jeff Hughes;;Could Not Continue;2.0
Michel Pereira;Tristan Connelly;Tristan Connelly;Decision - Unanimous;1.0
Louis Smolka;Ryan MacDonald;Louis Smolka;KO/TKO;0.5
Kyle Prepolec;Austin Hubbard;Austin Hubbard;Decision - Unanimous;1.0
Chas Skelly;Jordan Griffin;Chas Skelly;Decision - Unanimous;1.0
Brad Katona;Hunter Azure;Hunter Azure;Decision - Unanimous;1.0
Zubaira Tukhugov;Lerone Murphy;;Decision - Split;1.0
Curtis Blaydes;Shamil Abdurakhimov;Curtis Blaydes;KO/TKO;0.5
