R_fighter;B_fighter;Winner;win_by;peso_forca_vitoria
Eric Shelton;Jordan Espinosa;Jordan Espinosa;Decision - Unanimous;1.0
Alexis Davis;Jennifer Maia;Jennifer Maia;Decision - Unanimous;1.0
Ryan MacDonald;Chris Gutierrez;Chris Gutierrez;Decision - Unanimous;1.0
Volkan Oezdemir;Dominick Reyes;Dominick Reyes;Decision - Split;1.0
Jack Marshman;John Phillips;Jack Marshman;Decision - Split;1.0
Nathaniel Wood;Jose Quinonez;Nathaniel Wood;Submission;0.5
Marc Diakiese;Joe Duffy;Marc Diakiese;Decision - Unanimous;1.0
Arnold Allen;Jordan Rinaldi;Arnold Allen;Decision - Unanimous;1.0
Danny Roberts;Claudio Silva;Claudio Silva;Submission;0.5
Darren Till;Jorge Masvidal;Jorge Masvidal;KO/TKO;0.5
Leon Edwards;Gunnar Nelson;Leon Edwards;Decision - Split;1.0
Danny Henry;Dan Ige;Dan Ige;Submission;0.5
Molly McCann;Priscila Cachoeira;Molly McCann;Decision - Unanimous;1.0
Nicolae Negumereanu;Saparbeg Safarov;Saparbeg Safarov;Decision - Unanimous;1.0
Mike Grundy;Nad Narimani;Mike Grundy;KO/TKO;0.5
Blagoy Ivanov;Ben Rothwell;Blagoy Ivanov;Decision - Unanimous;1.0
Elizeu Zaleski dos Santos;Curtis Millender;Elizeu Zaleski dos Santos;Submission;0.5
Derrick Lewis;Junior Dos Santos;Junior Dos Santos;KO/TKO;0.5
Beneil Dariush;Drew Dober;Beneil Dariush;Submission;0.5
Marion Reneau;Yana Kunitskaya;Yana Kunitskaya;Decision - Unanimous;1.0
Tim Boetsch;Omari Akhmedov;Omari Akhmedov;Decision - Unanimous;1.0
Anthony Rocco Martin;Sergio Moraes;Anthony Rocco Martin;Decision - Unanimous;1.0
Tim Means;Niko Price;Niko Price;KO/TKO;0.5
Grant Dawson;Julian Erosa;Grant Dawson;Decision - Unanimous;1.0
Maurice Greene;Jeff Hughes;Maurice Greene;Decision - Split;1.0
Alex White;Dan Moret;Alex White;Decision - Unanimous;1.0
Alex Morono;Zak Ottow;Alex Morono;KO/TKO;0.5
Louis Smolka;Matt Schnell;Matt Schnell;Submission;0.5
Robbie Lawler;Ben Askren;Ben Askren;Submission;0.5
Tecia Torres;Zhang Weili;Zhang Weili;Decision - Unanimous;1.0
Cody Garbrandt;Pedro Munhoz;Pedro Munhoz;KO/TKO;0.5
Jon Jones;Anthony Smith;Jon Jones;Decision - Unanimous;1.0
Jeremy Stephens;Zabit Magomedsharipov;Zabit Magomedsharipov;Decision - Unanimous;1.0
Tyron Woodley;Kamaru Usman;Kamaru Usman;Decision - Unanimous;1.0
Misha Cirkunov;Johnny Walker;Johnny Walker;KO/TKO;0.5
Cody Stamann;Alejandro Perez;Cody Stamann;Decision - Unanimous;1.0
Diego Sanchez;Mickey Gall;Diego Sanchez;KO/TKO;0.5
Gina Mazany;Macy Chiasson;Macy Chiasson;KO/TKO;0.5
Edmen Shahbazyan;Charles Byrd;Edmen Shahbazyan;KO/TKO;0.5
Polyana Viana;Hannah Cifers;Hannah Cifers;Decision - Split;1.0
Daniel Teymur;Chris Fishgold;Chris Fishgold;Submission;0.5
Dwight Grant;Carlo Pedersoli Jr.;Dwight Grant;KO/TKO;0.5
Gian Villante;Michal Oleksiejczuk;Michal Oleksiejczuk;KO/TKO;0.5
Magomed Ankalaev;Klidson Abreu;Magomed Ankalaev;Decision - Unanimous;1.0
Liz Carmouche;Lucie Pudilova;Liz Carmouche;Decision - Unanimous;1.0
Jan Blachowicz;Thiago Santos;Thiago Santos;KO/TKO;0.5
John Dodson;Petr Yan;Petr Yan;Decision - Unanimous;1.0
Stefan Struve;Marcos Rogerio de Lima;Stefan Struve;Submission;0.5
Damir Hadzovic;Marco Polo Reyes;Damir Hadzovic;KO/TKO;0.5
Veronica Macedo;Gillian Robertson;Gillian Robertson;Submission;0.5
Michel Prazeres;Ismail Naurdiev;Ismail Naurdiev;Decision - Unanimous;1.0
Damir Ismagulov;Joel Alvarez;Damir Ismagulov;Decision - Unanimous;1.0
Rustam Khabilov;Diego Ferreira;Diego Ferreira;Decision - Unanimous;1.0
Jimmie Rivera;Aljamain Sterling;Aljamain Sterling;Decision - Unanimous;1.0
Alex Caceres;Kron Gracie;Kron Gracie;Submission;0.5
Andre Fili;Myles Jury;Andre Fili;Decision - Unanimous;1.0
Cortney Casey;Cynthia Calvillo;Cynthia Calvillo;Decision - Unanimous;1.0
James Vick;Paul Felder;Paul Felder;Decision - Unanimous;1.0
Francis Ngannou;Cain Velasquez;Francis Ngannou;KO/TKO;0.5
Vicente Luque;Bryan Barberena;Vicente Luque;KO/TKO;0.5
Benito Lopez;Manny Bermudez;Manny Bermudez;Submission;0.5
Ashlee Evans-Smith;Andrea Lee;Andrea Lee;Decision - Unanimous;1.0
Aleksandra Albu;Emily Whitmire;Emily Whitmire;Submission;0.5
Scott Holtzman;Nik Lentz;Nik Lentz;Decision - Unanimous;1.0
Renan Barao;Luke Sanders;Luke Sanders;KO/TKO;0.5
Rani Yahya;Ricky Simon;Ricky Simon;Decision - Unanimous;1.0
Shane Young;Austin Arnett;Shane Young;Decision - Unanimous;1.0
Montana De La Rosa;Nadia Kassem;Montana De La Rosa;Submission;0.5
Jimmy Crute;Sam Alvey;Jimmy Crute;KO/TKO;0.5
Lando Vannata;Marcos Mariano;Lando Vannata;Submission;0.5
Devonte Smith;Dong Hyun Ma;Devonte Smith;KO/TKO;0.5
Israel Adesanya;Anderson Silva;Israel Adesanya;Decision - Unanimous;1.0
Kai Kara-France;Raulian Paiva;Kai Kara-France;Decision - Split;1.0
Callan Potter;Jalin Turner;Jalin Turner;KO/TKO;0.5
Wuliji Buren;Jonathan Martinez;Jonathan Martinez;Decision - Unanimous;1.0
Teruto Ishihara;Kyung Ho Kang;Kyung Ho Kang;Submission;0.5
Demian Maia;Lyman Good;Demian Maia;Submission;0.5
Charles Oliveira;David Teymur;Charles Oliveira;Submission;0.5
Raphael Assuncao;Marlon Moraes;Marlon Moraes;Submission;0.5
Johnny Walker;Justin Ledet;Johnny Walker;KO/TKO;0.5
Mara Romero Borella;Taila Santos;Mara Romero Borella;Decision - Split;1.0
Jose Aldo;Renato Moicano;Jose Aldo;KO/TKO;0.5
Markus Perez;Anthony Hernandez;Markus Perez;Submission;0.5
Livinha Souza;Sarah Frota;Livinha Souza;Decision - Split;1.0
Junior Albini;Jairzinho Rozenstruik;Jairzinho Rozenstruik;KO/TKO;0.5
Thiago Alves;Max Griffin;Thiago Alves;Decision - Split;1.0
Ricardo Ramos;Said Nurmagomedov;Said Nurmagomedov;KO/TKO;0.5
Geraldo de Freitas;Felipe Colares;Geraldo de Freitas;Decision - Unanimous;1.0
Bibulatov Magomed;Rogerio Bontorin;Rogerio Bontorin;Decision - Split;1.0
Henry Cejudo;TJ Dillashaw;Henry Cejudo;KO/TKO;0.5
Alexander Hernandez;Donald Cerrone;Donald Cerrone;KO/TKO;0.5
Joanne Calderwood;Ariane Lipski;Joanne Calderwood;Decision - Unanimous;1.0
Gregor Gillespie;Yancy Medeiros;Gregor Gillespie;KO/TKO;0.5
Glover Teixeira;Karl Roberson;Glover Teixeira;Submission;0.5
Joseph Benavidez;Dustin Ortiz;Joseph Benavidez;Decision - Unanimous;1.0
Greg Hardy;Allen Crowder;Allen Crowder;DQ;2.0
Paige VanZant;Rachael Ostovich;Paige VanZant;Submission;0.5
Alonzo Menifield;Vinicius Moreira;Alonzo Menifield;KO/TKO;0.5
Cory Sandhagen;Mario Bautista;Cory Sandhagen;Submission;0.5
Dennis Bermudez;Te Edwards;Dennis Bermudez;Decision - Unanimous;1.0
Kyle Stewart;Chance Rencountre;Chance Rencountre;Submission;0.5
Belal Muhammad;Geoff Neal;Geoff Neal;Decision - Unanimous;1.0
Douglas Silva de Andrade;Petr Yan;Petr Yan;KO/TKO;0.5
Chad Mendes;Alexander Volkanovski;Alexander Volkanovski;KO/TKO;0.5
Jon Jones;Alexander Gustafsson;Jon Jones;KO/TKO;0.5
Cristiane Justino;Amanda Nunes;Amanda Nunes;KO/TKO;0.5
Carlos Condit;Michael Chiesa;Michael Chiesa;Submission;0.5
Cat Zingano;Megan Anderson;Megan Anderson;KO/TKO;0.5
Ilir Latifi;Corey Anderson;Corey Anderson;Decision - Unanimous;1.0
Andrei Arlovski;Walt Harris;;Overturned;2.0
Nathaniel Wood;Andre Ewell;Nathaniel Wood;Submission;0.5
Uriah Hall;Bevon Lewis;Uriah Hall;KO/TKO;0.5
BJ Penn;Ryan Hall;Ryan Hall;Submission;0.5
Curtis Millender;Siyar Bahadurzada;Curtis Millender;Decision - Unanimous;1.0
Brian Kelleher;Montel Jackson;Montel Jackson;Submission;0.5
Zak Ottow;Dwight Grant;Zak Ottow;Decision - Split;1.0
Jim Miller;Charles Oliveira;Charles Oliveira;Submission;0.5
Kevin Lee;Al Iaquinta;Al Iaquinta;Decision - Unanimous;1.0
Bobby Green;Drakkar Klose;Drakkar Klose;Decision - Unanimous;1.0
Edson Barboza;Dan Hooker;Edson Barboza;KO/TKO;0.5
Rob Font;Sergio Pettis;Rob Font;Decision - Unanimous;1.0
Gerald Meerschaert;Jack Hermansson;Jack Hermansson;Submission;0.5
Jared Gordon;Joaquim Silva;Joaquim Silva;KO/TKO;0.5
Trevor Smith;Zak Cummings;Zak Cummings;Decision - Unanimous;1.0
Dan Ige;Jordan Griffin;Dan Ige;Decision - Unanimous;1.0
Adam Milstead;Mike Rodriguez;Mike Rodriguez;KO/TKO;0.5
Chris de la Rocha;Juan Adams;Juan Adams;KO/TKO;0.5
Alex Oliveira;Gunnar Nelson;Gunnar Nelson;Submission;0.5
Claudia Gadelha;Nina Ansaroff;Nina Ansaroff;Decision - Unanimous;1.0
Olivier Aubin-Mercier;Gilbert Burns;Gilbert Burns;Decision - Unanimous;1.0
Valentina Shevchenko;Joanna Jedrzejczyk;Valentina Shevchenko;Decision - Unanimous;1.0
Katlyn Chookagian;Jessica Eye;Jessica Eye;Decision - Split;1.0
Jimi Manuwa;Thiago Santos;Thiago Santos;KO/TKO;0.5
Hakeem Dawodu;Kyle Bochniak;Hakeem Dawodu;Decision - Split;1.0
Elias Theodorou;Eryk Anders;Elias Theodorou;Decision - Split;1.0
Brad Katona;Matthew Lopez;Brad Katona;Decision - Unanimous;1.0
Diego Ferreira;Kyle Nelson;Diego Ferreira;KO/TKO;0.5
Max Holloway;Brian Ortega;Max Holloway;TKO - Doctor's Stoppage;0.5
Devin Clark;Aleksandar Rakic;Aleksandar Rakic;KO/TKO;0.5
Chad Laprise;Dhiego Lima;Dhiego Lima;KO/TKO;0.5
Mark Hunt;Justin Willis;Justin Willis;Decision - Unanimous;1.0
Wilson Reis;Ben Nguyen;Wilson Reis;Decision - Unanimous;1.0
Suman Mokhtarian;Sodiq Yusuff;Sodiq Yusuff;KO/TKO;0.5
Yushin Okami;Aleksei Kunchenko;Aleksei Kunchenko;Decision - Unanimous;1.0
Jake Matthews;Anthony Rocco Martin;Anthony Rocco Martin;Submission;0.5
Jimmy Crute;Paul Craig;Jimmy Crute;Submission;0.5
Junior Dos Santos;Tai Tuivasa;Junior Dos Santos;KO/TKO;0.5
Mauricio Rua;Tyson Pedro;Mauricio Rua;KO/TKO;0.5
Alex Gorgees;Damir Ismagulov;Damir Ismagulov;Decision - Unanimous;1.0
Keita Nakamura;Salim Touahri;Keita Nakamura;Decision - Split;1.0
Elias Garcia;Kai Kara-France;Kai Kara-France;Decision - Unanimous;1.0
Mizuto Hirota;Christos Giagos;Christos Giagos;Decision - Unanimous;1.0
Joseph Benavidez;Alex Perez;Joseph Benavidez;KO/TKO;0.5
Darren Stewart;Edmen Shahbazyan;Edmen Shahbazyan;Decision - Split;1.0
Juan Espino;Justin Frazier;Juan Espino;Submission;0.5
Rick Glenn;Kevin Aguilar;Kevin Aguilar;Decision - Unanimous;1.0
Ji Yeon Kim;Antonina Shevchenko;Antonina Shevchenko;Decision - Unanimous;1.0
Rafael Dos Anjos;Kamaru Usman;Kamaru Usman;Decision - Unanimous;1.0
Pedro Munhoz;Bryan Caraway;Pedro Munhoz;KO/TKO;0.5
Pannie Kianzad;Macy Chiasson;Macy Chiasson;Submission;0.5
Roosevelt Roberts;Darrell Horcher;Roosevelt Roberts;Submission;0.5
Julija Stoliarenko;Leah Letson;Leah Letson;Decision - Split;1.0
Tim Means;Ricky Rainey;Tim Means;KO/TKO;0.5
Maurice Greene;Michel Batista;Maurice Greene;Submission;0.5
Raoni Barcelos;Chris Gutierrez;Raoni Barcelos;Submission;0.5
Zhang Weili;Jessica Aguilar;Zhang Weili;Submission;0.5
Song Kenan;Alex Morono;Alex Morono;Decision - Unanimous;1.0
Alistair Overeem;Sergei Pavlovich;Alistair Overeem;KO/TKO;0.5
Wu Yanan;Lauren Mueller;Wu Yanan;Submission;0.5
Hu Yaozong;Rashad Coulter;Rashad Coulter;Decision - Unanimous;1.0
Song Yadong;Vince Morales;Song Yadong;Decision - Unanimous;1.0
Li Jingliang;David Zawada;Li Jingliang;KO/TKO;0.5
Curtis Blaydes;Francis Ngannou;Francis Ngannou;KO/TKO;0.5
Kevin Holland;John Phillips;Kevin Holland;Submission;0.5
Yan Xiaonan;Syuri Kondo;Yan Xiaonan;Decision - Unanimous;1.0
Su Mudaerji;Louis Smolka;Louis Smolka;Submission;0.5
Pingyuan Liu;Martin Day;Pingyuan Liu;Decision - Split;1.0
Michel Prazeres;Bartosz Fabinski;Michel Prazeres;Submission;0.5
Guido Cannetti;Marlon Vera;Marlon Vera;Submission;0.5
Khalil Rountree Jr.;Johnny Walker;Johnny Walker;KO/TKO;0.5
Cynthia Calvillo;Poliana Botelho;Cynthia Calvillo;Submission;0.5
Cezar Ferreira;Ian Heinisch;Ian Heinisch;Decision - Unanimous;1.0
Alexandre Pantoja;Yuta Sasaki;Alexandre Pantoja;Submission;0.5
Neil Magny;Santiago Ponzinibbio;Santiago Ponzinibbio;KO/TKO;0.5
Ricardo Lamas;Darren Elkins;Ricardo Lamas;KO/TKO;0.5
Devin Powell;Jesus Pinedo;Jesus Pinedo;Decision - Unanimous;1.0
Humberto Bandenay;Austin Arnett;Austin Arnett;Decision - Unanimous;1.0
Nad Narimani;Anderson Dos Santos;Nad Narimani;Decision - Unanimous;1.0
Laureano Staropoli;Hector Aldana;Laureano Staropoli;Decision - Unanimous;1.0
Maycee Barber;Hannah Cifers;Maycee Barber;KO/TKO;0.5
Beneil Dariush;Thiago Moises;Beneil Dariush;Decision - Unanimous;1.0
Michael Trizano;Luis Pena;Michael Trizano;Decision - Split;1.0
Chas Skelly;Bobby Moffett;;Overturned;2.0
Raquel Pennington;Germaine de Randamie;Germaine de Randamie;Decision - Unanimous;1.0
Chan Sung Jung;Yair Rodriguez;Yair Rodriguez;KO/TKO;0.5
Ashley Yoder;Amanda Cooper;Ashley Yoder;Decision - Split;1.0
Donald Cerrone;Mike Perry;Donald Cerrone;Submission;0.5
Devonte Smith;Julian Erosa;Devonte Smith;KO/TKO;0.5
Joseph Morales;Eric Shelton;Eric Shelton;Decision - Split;1.0
Davi Ramos;John Gunther;Davi Ramos;Submission;0.5
Mark De La Rosa;Joby Sanchez;Mark De La Rosa;Decision - Split;1.0
Jason Knight;Jordan Rinaldi;Jordan Rinaldi;Decision - Unanimous;1.0
Karl Roberson;Jack Marshman;Karl Roberson;Decision - Unanimous;1.0
David Branch;Jared Cannonier;Jared Cannonier;KO/TKO;0.5
Daniel Cormier;Derrick Lewis;Daniel Cormier;Submission;0.5
Derek Brunson;Israel Adesanya;Israel Adesanya;KO/TKO;0.5
Julio Arce;Sheymon Moraes;Sheymon Moraes;Decision - Split;1.0
Sijara Eubanks;Roxanne Modafferi;Sijara Eubanks;Decision - Unanimous;1.0
Chris Weidman;Jacare Souza;Jacare Souza;KO/TKO;0.5
Matt Frevola;Lando Vannata;;Decision - Majority;1.0
Lyman Good;Ben Saunders;Lyman Good;KO/TKO;0.5
Shane Burgos;Kurt Holobaugh;Shane Burgos;Submission;0.5
Adam Wieczorek;Marcos Rogerio de Lima;Marcos Rogerio de Lima;Decision - Unanimous;1.0
Misha Cirkunov;Patrick Cummins;Misha Cirkunov;Submission;0.5
Gian Villante;Ed Herman;Gian Villante;Decision - Split;1.0
Nordine Taleb;Sean Strickland;Sean Strickland;KO/TKO;0.5
Alex Garcia;Court McGee;Court McGee;Decision - Unanimous;1.0
Michael Johnson;Artem Lobov;Michael Johnson;Decision - Unanimous;1.0
Volkan Oezdemir;Anthony Smith;Anthony Smith;Submission;0.5
Thibault Gouti;Nasrat Haqparast;Nasrat Haqparast;Decision - Unanimous;1.0
Andre Soukhamthath;Jonathan Martinez;Andre Soukhamthath;Decision - Unanimous;1.0
Calvin Kattar;Chris Fishgold;Calvin Kattar;KO/TKO;0.5
Sarah Moras;Talita Bernardo;Talita Bernardo;Decision - Unanimous;1.0
Te Edwards;Don Madge;Don Madge;KO/TKO;0.5
Stevie Ray;Jessin Ayari;Stevie Ray;Decision - Unanimous;1.0
Arjan Bhullar;Marcelo Golm;Arjan Bhullar;Decision - Unanimous;1.0
Sergio Pettis;Jussier Formiga;Jussier Formiga;Decision - Unanimous;1.0
Vicente Luque;Jalin Turner;Vicente Luque;KO/TKO;0.5
Tony Ferguson;Anthony Pettis;Tony Ferguson;KO/TKO;0.5
Ovince Saint Preux;Dominick Reyes;Dominick Reyes;Decision - Unanimous;1.0
Michelle Waterson;Felice Herrig;Michelle Waterson;Decision - Unanimous;1.0
Aspen Ladd;Tonya Evinger;Aspen Ladd;KO/TKO;0.5
Derrick Lewis;Alexander Volkov;Derrick Lewis;KO/TKO;0.5
Khabib Nurmagomedov;Conor McGregor;Khabib Nurmagomedov;Submission;0.5
Scott Holtzman;Alan Patrick;Scott Holtzman;KO/TKO;0.5
Lina Lansberg;Yana Kunitskaya;Yana Kunitskaya;Decision - Unanimous;1.0
Ryan LaFlare;Anthony Rocco Martin;Anthony Rocco Martin;KO/TKO;0.5
Gray Maynard;Nik Lentz;Nik Lentz;KO/TKO;0.5
Alex Oliveira;Carlo Pedersoli Jr.;Alex Oliveira;KO/TKO;0.5
Luis Henrique;Ryan Spann;Ryan Spann;Decision - Unanimous;1.0
Charles Oliveira;Christos Giagos;Charles Oliveira;Submission;0.5
Randa Markos;Marina Rodriguez;;Decision - Majority;1.0
Sam Alvey;Rogerio Nogueira;Rogerio Nogueira;KO/TKO;0.5
Francisco Trinaldo;Evan Dunham;Francisco Trinaldo;KO/TKO;0.5
Thiago Santos;Eryk Anders;Thiago Santos;KO/TKO;0.5
Renan Barao;Andre Ewell;Andre Ewell;Decision - Split;1.0
Sergio Moraes;Ben Saunders;Sergio Moraes;Submission;0.5
Mayra Bueno Silva;Gillian Robertson;Mayra Bueno Silva;Submission;0.5
Augusto Sakai;Chase Sherman;Augusto Sakai;KO/TKO;0.5
Elizeu Zaleski dos Santos;Luigi Vendramini;Elizeu Zaleski dos Santos;KO/TKO;0.5
Thales Leites;Hector Lombard;Thales Leites;Decision - Unanimous;1.0
Livinha Souza;Alex Chambers;Livinha Souza;Submission;0.5
Rustam Khabilov;Kajan Johnson;Rustam Khabilov;Decision - Split;1.0
Andrei Arlovski;Shamil Abdurakhimov;Shamil Abdurakhimov;Decision - Unanimous;1.0
Aleksei Kunchenko;Thiago Alves;Aleksei Kunchenko;Decision - Unanimous;1.0
Jan Blachowicz;Nikita Krylov;Jan Blachowicz;Submission;0.5
Khalid Murtazaliev;CB Dollaway;Khalid Murtazaliev;KO/TKO;0.5
Mark Hunt;Aleksei Oleinik;Aleksei Oleinik;Submission;0.5
Petr Yan;Jin Soo Son;Petr Yan;Decision - Unanimous;1.0
Mairbek Taisumov;Desmond Green;Mairbek Taisumov;Decision - Unanimous;1.0
Magomed Ankalaev;Marcin Prachnio;Magomed Ankalaev;KO/TKO;0.5
Adam Yandiev;Jordan Johnson;Jordan Johnson;Submission;0.5
Ramazan Emeev;Stefan Sekulic;Ramazan Emeev;Decision - Unanimous;1.0
Merab Dvalishvili;Terrion Ware;Merab Dvalishvili;Decision - Unanimous;1.0
Jimmie Rivera;John Dodson;Jimmie Rivera;Decision - Unanimous;1.0
Jessica Andrade;Karolina Kowalkiewicz;Jessica Andrade;KO/TKO;0.5
Zabit Magomedsharipov;Brandon Davis;Zabit Magomedsharipov;Submission;0.5
Aljamain Sterling;Cody Stamann;Aljamain Sterling;Submission;0.5
Abdul Razak Alhassan;Niko Price;Abdul Razak Alhassan;KO/TKO;0.5
Carla Esparza;Tatiana Suarez;Tatiana Suarez;KO/TKO;0.5
Geoff Neal;Frank Camacho;Geoff Neal;KO/TKO;0.5
Tyron Woodley;Darren Till;Tyron Woodley;Submission;0.5
Charles Byrd;Darren Stewart;Darren Stewart;KO/TKO;0.5
Jim Miller;Alex White;Jim Miller;Submission;0.5
Irene Aldana;Lucie Pudilova;Irene Aldana;Decision - Split;1.0
Diego Sanchez;Craig White;Diego Sanchez;Decision - Unanimous;1.0
Robert Sanchez;Jarred Brooks;Jarred Brooks;Decision - Split;1.0
Cortney Casey;Angela Hill;Cortney Casey;Decision - Split;1.0
Cory Sandhagen;Iuri Alcantara;Cory Sandhagen;KO/TKO;0.5
John Moraga;Deiveson Figueiredo;Deiveson Figueiredo;KO/TKO;0.5
Eryk Anders;Tim Williams;Eryk Anders;KO/TKO;0.5
James Krause;Warlley Alves;James Krause;KO/TKO;0.5
Jake Ellenberger;Bryan Barberena;Bryan Barberena;KO/TKO;0.5
Justin Gaethje;James Vick;Justin Gaethje;KO/TKO;0.5
Michael Johnson;Andre Fili;Michael Johnson;Decision - Split;1.0
Joanne Calderwood;Kalindra Faria;Joanne Calderwood;Submission;0.5
Andrew Sanchez;Markus Perez;Andrew Sanchez;Decision - Unanimous;1.0
Rani Yahya;Luke Sanders;Rani Yahya;Submission;0.5
Mickey Gall;George Sullivan;Mickey Gall;Submission;0.5
Drew Dober;Jon Tuck;Drew Dober;Decision - Unanimous;1.0
Thiago Santos;Kevin Holland;Thiago Santos;Decision - Unanimous;1.0
TJ Dillashaw;Cody Garbrandt;TJ Dillashaw;KO/TKO;0.5
Ricardo Ramos;Kyung Ho Kang;Ricardo Ramos;Decision - Split;1.0
Polyana Viana;JJ Aldrich;JJ Aldrich;Decision - Unanimous;1.0
Ricky Simon;Montel Jackson;Ricky Simon;Decision - Unanimous;1.0
Cub Swanson;Renato Moicano;Renato Moicano;Submission;0.5
Pedro Munhoz;Brett Johns;Pedro Munhoz;Decision - Unanimous;1.0
Demetrious Johnson;Henry Cejudo;Henry Cejudo;Decision - Split;1.0
Matt Sayles;Sheymon Moraes;Sheymon Moraes;Decision - Unanimous;1.0
Marlon Vera;Wuliji Buren;Marlon Vera;KO/TKO;0.5
Alex Perez;Jose Torres;Alex Perez;KO/TKO;0.5
Danielle Taylor;Zhang Weili;Zhang Weili;Decision - Unanimous;1.0
Kajan Johnson;Islam Makhachev;Islam Makhachev;Submission;0.5
Joanna Jedrzejczyk;Tecia Torres;Joanna Jedrzejczyk;Decision - Unanimous;1.0
Alexander Hernandez;Olivier Aubin-Mercier;Alexander Hernandez;Decision - Unanimous;1.0
Gadzhimurad Antigulov;Ion Cutelaba;Ion Cutelaba;KO/TKO;0.5
Eddie Alvarez;Dustin Poirier;Dustin Poirier;KO/TKO;0.5
Jose Aldo;Jeremy Stephens;Jose Aldo;KO/TKO;0.5
Hakeem Dawodu;Austin Arnett;Hakeem Dawodu;Decision - Unanimous;1.0
Jordan Mein;Alex Morono;Jordan Mein;Decision - Unanimous;1.0
Dustin Ortiz;Matheus Nicolau;Dustin Ortiz;KO/TKO;0.5
Randa Markos;Nina Ansaroff;Nina Ansaroff;Decision - Unanimous;1.0
Alexis Davis;Katlyn Chookagian;Katlyn Chookagian;Decision - Unanimous;1.0
Devin Powell;Alvaro Herrera Mendoza;Devin Powell;KO/TKO;0.5
John Makdessi;Ross Pearson;John Makdessi;Decision - Unanimous;1.0
Mauricio Rua;Anthony Smith;Anthony Smith;KO/TKO;0.5
Glover Teixeira;Corey Anderson;Corey Anderson;Decision - Unanimous;1.0
Emil Meek;Bartosz Fabinski;Bartosz Fabinski;Decision - Unanimous;1.0
Vitor Miranda;Abu Azaitar;Abu Azaitar;Decision - Unanimous;1.0
Danny Roberts;David Zawada;Danny Roberts;Decision - Split;1.0
Nasrat Haqparast;Marc Diakiese;Nasrat Haqparast;Decision - Unanimous;1.0
Nick Hein;Damir Hadzovic;Damir Hadzovic;Decision - Split;1.0
Marcin Tybura;Stefan Struve;Marcin Tybura;Decision - Unanimous;1.0
Davey Grant;Manny Bermudez;Manny Bermudez;Submission;0.5
Khalid Taha;Nad Narimani;Nad Narimani;Decision - Unanimous;1.0
Justin Ledet;Aleksandar Rakic;Aleksandar Rakic;Decision - Unanimous;1.0
Jeremy Kimball;Darko Stosic;Darko Stosic;KO/TKO;0.5
Damian Stasiak;Pingyuan Liu;Pingyuan Liu;Decision - Unanimous;1.0
Myles Jury;Chad Mendes;Chad Mendes;KO/TKO;0.5
Darren Elkins;Alexander Volkanovski;Alexander Volkanovski;Decision - Unanimous;1.0
Randy Brown;Niko Price;Niko Price;KO/TKO;0.5
Junior Dos Santos;Blagoy Ivanov;Junior Dos Santos;Decision - Unanimous;1.0
Sage Northcutt;Zak Ottow;Sage Northcutt;KO/TKO;0.5
Cat Zingano;Marion Reneau;Cat Zingano;Decision - Unanimous;1.0
Dennis Bermudez;Rick Glenn;Rick Glenn;Decision - Split;1.0
Eddie Wineland;Alejandro Perez;Alejandro Perez;Decision - Unanimous;1.0
Kurt Holobaugh;Raoni Barcelos;Raoni Barcelos;KO/TKO;0.5
Mark De La Rosa;Elias Garcia;Mark De La Rosa;Submission;0.5
Justin Scoggins;Said Nurmagomedov;Said Nurmagomedov;Decision - Split;1.0
Jessica Aguilar;Jodie Esquibel;Jessica Aguilar;Decision - Unanimous;1.0
Liz Carmouche;Jennifer Maia;Liz Carmouche;Decision - Unanimous;1.0
Stipe Miocic;Daniel Cormier;Daniel Cormier;KO/TKO;0.5
Raphael Assuncao;Rob Font;Raphael Assuncao;Decision - Unanimous;1.0
Lando Vannata;Drakkar Klose;Drakkar Klose;Decision - Unanimous;1.0
Gokhan Saki;Khalil Rountree Jr.;Khalil Rountree Jr.;KO/TKO;0.5
Uriah Hall;Paulo Costa;Paulo Costa;KO/TKO;0.5
Francis Ngannou;Derrick Lewis;Derrick Lewis;Decision - Unanimous;1.0
Paul Felder;Mike Perry;Mike Perry;Decision - Split;1.0
Michael Chiesa;Anthony Pettis;Anthony Pettis;Submission;0.5
Dan Hooker;Gilbert Burns;Dan Hooker;KO/TKO;0.5
Curtis Millender;Max Griffin;Curtis Millender;Decision - Unanimous;1.0
Jamie Moyle;Emily Whitmire;Emily Whitmire;Decision - Unanimous;1.0
Jay Cucciniello;Brad Katona;Brad Katona;Decision - Unanimous;1.0
Michael Trizano;Joe Giannetti;Michael Trizano;Decision - Split;1.0
Brad Tavares;Israel Adesanya;Israel Adesanya;Decision - Unanimous;1.0
Luis Pena;Richie Smullen;Luis Pena;Submission;0.5
Alessio Di Chirico;Julian Marquez;Alessio Di Chirico;Decision - Split;1.0
Montana De La Rosa;Rachael Ostovich;Montana De La Rosa;Submission;0.5
Roxanne Modafferi;Barb Honchak;Roxanne Modafferi;KO/TKO;0.5
Alex Caceres;Martin Bravo;Alex Caceres;Decision - Split;1.0
John Gunther;Allan Zuniga;John Gunther;Decision - Majority;1.0
Matt Bessette;Steven Peterson;Steven Peterson;Decision - Split;1.0
Tyler Diamond;Bryce Mitchell;Bryce Mitchell;Decision - Majority;1.0
Gerald Meerschaert;Oskar Piechota;Gerald Meerschaert;Submission;0.5
