R_fighter;B_fighter;Fight_type;win_by;peso_forca_vitoria
Mike Lullo;Edson Barboza;Lightweight Bout;KO/TKO;0.5
Paul Kelly;TJ O'Brien;Lightweight Bout;KO/TKO;0.5
Tyson Griffin;Nik Lentz;Lightweight Bout;Decision - Split;1.0
Kyle Noke;Rob Kimmons;Middleweight Bout;Submission;0.5
Amir Sadollah;Peter Sobotta;Welterweight Bout;Decision - Unanimous;1.0
Dennis Siver;Andre Winner;Lightweight Bout;Submission;0.5
Pascal Krauss;Mark Scanlon;Welterweight Bout;Decision - Unanimous;1.0
Duane Ludwig;Nick Osipczak;Welterweight Bout;Decision - Split;1.0
Nate Marquardt;Yushin Okami;Middleweight Bout;Decision - Unanimous;1.0
Vladimir Matyushenko;Alexandre Ferreira;Light Heavyweight Bout;KO/TKO;0.5
Krzysztof Soszynski;Goran Reljic;Light Heavyweight Bout;Decision - Unanimous;1.0
Kris McCray;Carlos Eduardo Rocha;Welterweight Bout;Submission;0.5
Seth Petruzelli;Karlos Vemola;Light Heavyweight Bout;KO/TKO;0.5
Mike Guymon;Daniel Roberts;Welterweight Bout;Submission;0.5
Diego Sanchez;Paulo Thiago;Welterweight Bout;Decision - Unanimous;1.0
Court McGee;Ryan Jensen;Middleweight Bout;Submission;0.5
Brendan Schaub;Gabriel Gonzaga;Heavyweight Bout;Decision - Unanimous;1.0
Jake Shields;Martin Kampmann;Welterweight Bout;Decision - Split;1.0
Brock Lesnar;Cain Velasquez;UFC Heavyweight Title Bout;KO/TKO;0.5
Tito Ortiz;Matt Hamill;Light Heavyweight Bout;Decision - Unanimous;1.0
Patrick Cote;Tom Lawlor;Middleweight Bout;Decision - Unanimous;1.0
Sam Stout;Paul Taylor;Lightweight Bout;Decision - Split;1.0
Jon Madsen;Gilbert Yvel;Heavyweight Bout;KO/TKO;0.5
Chris Camozzi;Dongi Yang;Middleweight Bout;Decision - Split;1.0
Cyrille Diabate;Alexander Gustafsson;Light Heavyweight Bout;Submission;0.5
John Hathaway;Mike Pyle;Welterweight Bout;Decision - Unanimous;1.0
Dan Hardy;Carlos Condit;Welterweight Bout;KO/TKO;0.5
Paul Sass;Mark Holst;Lightweight Bout;Submission;0.5
James Wilks;Claude Patrick;Welterweight Bout;Decision - Unanimous;1.0
Cheick Kongo;Travis Browne;Heavyweight Bout;Decision - Unanimous;1.0
Michael Bisping;Yoshihiro Akiyama;Middleweight Bout;Decision - Unanimous;1.0
Rob Broughton;Vinicius Queiroz;Heavyweight Bout;Submission;0.5
James McSweeney;Fabio Maldonado;Light Heavyweight Bout;KO/TKO;0.5
Spencer Fisher;Curt Warburton;Lightweight Bout;Decision - Unanimous;1.0
Thiago Tavares;Pat Audinwood;Lightweight Bout;Submission;0.5
CB Dollaway;Joe Doerksen;Middleweight Bout;Submission;0.5
Sean Sherk;Evan Dunham;Lightweight Bout;Decision - Split;1.0
Matt Serra;Chris Lytle;Welterweight Bout;Decision - Unanimous;1.0
Melvin Guillard;Jeremy Stephens;Lightweight Bout;Decision - Split;1.0
Frank Mir;Mirko Filipovic;Heavyweight Bout;KO/TKO;0.5
Matt Mitrione;Joey Beltran;Heavyweight Bout;Decision - Unanimous;1.0
Steve Lopez;Waylon Lowe;Lightweight Bout;Decision - Split;1.0
Mark Hunt;Sean McCorkle;Heavyweight Bout;Submission;0.5
TJ Grant;Julio Paulino;Welterweight Bout;Decision - Unanimous;1.0
Nate Marquardt;Rousimar Palhares;Middleweight Bout;KO/TKO;0.5
Rich Attonito;Rafael Natal;Middleweight Bout;Decision - Unanimous;1.0
Yves Edwards;John Gunderson;Lightweight Bout;Decision - Unanimous;1.0
Tomasz Drwal;David Branch;Middleweight Bout;Decision - Unanimous;1.0
Jared Hamman;Kyle Kingsbury;Light Heavyweight Bout;Decision - Unanimous;1.0
Cole Miller;Ross Pearson;Lightweight Bout;Submission;0.5
Jim Miller;Gleison Tibau;Lightweight Bout;Decision - Unanimous;1.0
Efrain Escudero;Charles Oliveira;Lightweight Bout;Submission;0.5
Brian Foster;Forrest Petz;Welterweight Bout;KO/TKO;0.5
TJ Waldburger;David Mitchell;Welterweight Bout;Decision - Unanimous;1.0
Joe Lauzon;Gabe Ruediger;Lightweight Bout;Submission;0.5
Andre Winner;Nik Lentz;Lightweight Bout;Decision - Unanimous;1.0
Demian Maia;Mario Miranda;Middleweight Bout;Decision - Unanimous;1.0
Dan Miller;John Salter;Middleweight Bout;Submission;0.5
Randy Couture;James Toney;Heavyweight Bout;Submission;0.5
Kenny Florian;Gray Maynard;Lightweight Bout;Decision - Unanimous;1.0
Nate Diaz;Marcus Davis;Welterweight Bout;Submission;0.5
Mike Pierce;Amilcar Alves;Welterweight Bout;Submission;0.5
Nick Osipczak;Greg Soto;Welterweight Bout;Decision - Unanimous;1.0
Jon Fitch;Thiago Alves;Welterweight Bout;Decision - Unanimous;1.0
Roy Nelson;Junior Dos Santos;Heavyweight Bout;Decision - Unanimous;1.0
Rodney Wallace;Phil Davis;Light Heavyweight Bout;Decision - Unanimous;1.0
Clay Guida;Rafael Dos Anjos;Lightweight Bout;Submission;0.5
Matt Hughes;Ricardo Almeida;Welterweight Bout;Submission;0.5
Johny Hendricks;Charlie Brenneman;Welterweight Bout;KO/TKO;0.5
Dustin Hazelett;Rick Story;Welterweight Bout;KO/TKO;0.5
Todd Brown;Tim Boetsch;Light Heavyweight Bout;Decision - Unanimous;1.0
Stefan Struve;Christian Morecraft;Heavyweight Bout;KO/TKO;0.5
Ben Saunders;Dennis Hallman;Welterweight Bout;Decision - Unanimous;1.0
DaMarques Johnson;Matthew Riddle;Welterweight Bout;KO/TKO;0.5
Jon Jones;Vladimir Matyushenko;Light Heavyweight Bout;KO/TKO;0.5
Tyson Griffin;Takanori Gomi;Lightweight Bout;KO/TKO;0.5
Mark Munoz;Yushin Okami;Middleweight Bout;Decision - Split;1.0
James Irvin;Igor Pokrajac;Light Heavyweight Bout;Submission;0.5
Brian Stann;Mike Massenzio;Middleweight Bout;Submission;0.5
Paul Kelly;Jacob Volkmann;Lightweight Bout;Decision - Unanimous;1.0
John Howard;Jake Ellenberger;Welterweight Bout;TKO - Doctor's Stoppage;0.5
Darren Elkins;Charles Oliveira;Lightweight Bout;Submission;0.5
Rob Kimmons;Steve Steinbeiss;Middleweight Bout;Decision - Unanimous;1.0
Chris Leben;Yoshihiro Akiyama;Middleweight Bout;Submission;0.5
Krzysztof Soszynski;Stephan Bonnar;Light Heavyweight Bout;KO/TKO;0.5
George Sotiropoulos;Kurt Pellegrino;Lightweight Bout;Decision - Unanimous;1.0
Chris Lytle;Matt Brown;Welterweight Bout;Submission;0.5
Brock Lesnar;Shane Carwin;UFC Heavyweight Title Bout;Submission;0.5
Seth Petruzelli;Ricardo Romero;Light Heavyweight Bout;Submission;0.5
Brendan Schaub;Chris Tuchscherer;Heavyweight Bout;KO/TKO;0.5
Kendall Grove;Goran Reljic;Middleweight Bout;Decision - Split;1.0
Gerald Harris;David Branch;Middleweight Bout;KO/TKO;0.5
Forrest Petz;Daniel Roberts;Welterweight Bout;Decision - Split;1.0
Jon Madsen;Karlos Vemola;Heavyweight Bout;Decision - Unanimous;1.0
Court McGee;Kris McCray;Ultimate Fighter 11 Middleweight Tournament Title Bout;Submission;0.5
Chris Leben;Aaron Simpson;Middleweight Bout;KO/TKO;0.5
Jamie Yager;Rich Attonito;Middleweight Bout;KO/TKO;0.5
John Gunderson;Mark Holst;Lightweight Bout;Decision - Unanimous;1.0
Spencer Fisher;Dennis Siver;Lightweight Bout;Decision - Unanimous;1.0
Keith Jardine;Matt Hamill;Light Heavyweight Bout;Decision - Majority;1.0
Brad Tavares;Seth Baczynski;Middleweight Bout;Decision - Unanimous;1.0
Josh Bryant;Kyle Noke;Middleweight Bout;KO/TKO;0.5
James McSweeney;Travis Browne;Heavyweight Bout;KO/TKO;0.5
Chris Camozzi;James Hammortree;Middleweight Bout;Decision - Unanimous;1.0
Tyson Griffin;Evan Dunham;Lightweight Bout;Decision - Split;1.0
Paulo Thiago;Martin Kampmann;Welterweight Bout;Decision - Unanimous;1.0
Mirko Filipovic;Pat Barry;Heavyweight Bout;Submission;0.5
David Loiseau;Mario Miranda;Middleweight Bout;KO/TKO;0.5
Ben Rothwell;Gilbert Yvel;Heavyweight Bout;Decision - Unanimous;1.0
Carlos Condit;Rory MacDonald;Welterweight Bout;KO/TKO;0.5
Chuck Liddell;Rich Franklin;Light Heavyweight Bout;KO/TKO;0.5
James Wilks;Peter Sobotta;Welterweight Bout;Decision - Unanimous;1.0
Ricardo Funch;Claude Patrick;Welterweight Bout;Submission;0.5
Mike Pyle;Jesse Lennox;Welterweight Bout;Submission;0.5
Melvin Guillard;Waylon Lowe;Lightweight Bout;KO/TKO;0.5
Michael Bisping;Dan Miller;Middleweight Bout;Decision - Unanimous;1.0
Todd Duffee;Mike Russow;Heavyweight Bout;KO/TKO;0.5
Efrain Escudero;Dan Lauzon;Lightweight Bout;Decision - Unanimous;1.0
Jason Brilz;Rogerio Nogueira;Light Heavyweight Bout;Decision - Split;1.0
Diego Sanchez;John Hathaway;Welterweight Bout;Decision - Unanimous;1.0
Quinton Jackson;Rashad Evans;Light Heavyweight Bout;Decision - Unanimous;1.0
Amir Sadollah;Dong Hyun Kim;Welterweight Bout;Decision - Unanimous;1.0
Luiz Cane;Cyrille Diabate;Light Heavyweight Bout;KO/TKO;0.5
Aaron Riley;Joe Brammer;Lightweight Bout;Decision - Unanimous;1.0
Jesse Forbes;Ryan Jensen;Middleweight Bout;Submission;0.5
Marcus Davis;Jonathan Goulet;Welterweight Bout;KO/TKO;0.5
Tom Lawlor;Joe Doerksen;Middleweight Bout;Submission;0.5
Josh Koscheck;Paul Daley;Welterweight Bout;Decision - Unanimous;1.0
TJ Grant;Johny Hendricks;Welterweight Bout;Decision - Majority;1.0
Patrick Cote;Alan Belcher;Middleweight Bout;Submission;0.5
Sam Stout;Jeremy Stephens;Lightweight Bout;Decision - Split;1.0
Kevin Ferguson;Matt Mitrione;Heavyweight Bout;KO/TKO;0.5
Joey Beltran;Tim Hague;Heavyweight Bout;Decision - Unanimous;1.0
Jason MacDonald;John Salter;Middleweight Bout;KO/TKO;0.5
Yoshiyuki Yoshida;Mike Guymon;Welterweight Bout;Decision - Unanimous;1.0
Lyoto Machida;Mauricio Rua;UFC Light Heavyweight Title Bout;KO/TKO;0.5
Anderson Silva;Demian Maia;UFC Middleweight Title Bout;Decision - Unanimous;1.0
Kendall Grove;Mark Munoz;Middleweight Bout;KO/TKO;0.5
Nick Osipczak;Rick Story;Welterweight Bout;Decision - Split;1.0
Matt Hughes;Renzo Gracie;Welterweight Bout;KO/TKO;0.5
DaMarques Johnson;Brad Blackburn;Welterweight Bout;KO/TKO;0.5
Alexander Gustafsson;Phil Davis;Light Heavyweight Bout;Submission;0.5
Terry Etim;Rafael Dos Anjos;Lightweight Bout;Submission;0.5
Paul Kelly;Matt Veach;Lightweight Bout;Submission;0.5
Jon Madsen;Mostapha Al-Turk;Heavyweight Bout;Decision - Unanimous;1.0
Kenny Florian;Takanori Gomi;Lightweight Bout;Submission;0.5
Ross Pearson;Dennis Siver;Lightweight Bout;Decision - Unanimous;1.0
Rob Emerson;Nik Lentz;Lightweight Bout;Decision - Unanimous;1.0
Caol Uno;Gleison Tibau;Lightweight Bout;KO/TKO;0.5
Andre Winner;Rafaello Oliveira;Lightweight Bout;Decision - Unanimous;1.0
Roy Nelson;Stefan Struve;Heavyweight Bout;KO/TKO;0.5
Jacob Volkmann;Ronys Torres;Lightweight Bout;Decision - Split;1.0
Nate Quarry;Jorge Rivera;Middleweight Bout;KO/TKO;0.5
Yushin Okami;Lucio Linhares;Middleweight Bout;TKO - Doctor's Stoppage;0.5
Gerald Harris;Mario Miranda;Middleweight Bout;KO/TKO;0.5
Charlie Brenneman;Jason High;Welterweight Bout;Decision - Unanimous;1.0
Jim Miller;Mark Bocek;Lightweight Bout;Decision - Unanimous;1.0
Rousimar Palhares;Tomasz Drwal;Middleweight Bout;Submission;0.5
Ricardo Almeida;Matt Brown;Welterweight Bout;Submission;0.5
Nate Diaz;Rory Markham;Welterweight Bout;KO/TKO;0.5
Kurt Pellegrino;Fabricio Camoes;Lightweight Bout;Submission;0.5
Georges St-Pierre;Dan Hardy;UFC Welterweight Title Bout;Decision - Unanimous;1.0
Frank Mir;Shane Carwin;UFC Interim Heavyweight Title Bout;KO/TKO;0.5
Ben Saunders;Jon Fitch;Welterweight Bout;Decision - Unanimous;1.0
Rodney Wallace;Jared Hamman;Light Heavyweight Bout;Decision - Unanimous;1.0
Matthew Riddle;Greg Soto;Welterweight Bout;DQ;2.0
Alessio Sakara;James Irvin;Middleweight Bout;KO/TKO;0.5
John Howard;Daniel Roberts;Welterweight Bout;KO/TKO;0.5
Clay Guida;Shannon Gugerty;Lightweight Bout;Submission;0.5
Eliot Marshall;Vladimir Matyushenko;Light Heavyweight Bout;Decision - Split;1.0
Junior Dos Santos;Gabriel Gonzaga;Heavyweight Bout;KO/TKO;0.5
Duane Ludwig;Darren Elkins;Lightweight Bout;KO/TKO;0.5
Brandon Vera;Jon Jones;Light Heavyweight Bout;KO/TKO;0.5
Cheick Kongo;Paul Buentello;Heavyweight Bout;KO/TKO;0.5
Brendan Schaub;Chase Gormley;Heavyweight Bout;KO/TKO;0.5
Eric Schafer;Jason Brilz;Light Heavyweight Bout;Decision - Unanimous;1.0
Mike Pierce;Julio Paulino;Welterweight Bout;Decision - Unanimous;1.0
Chris Lytle;Brian Foster;Welterweight Bout;Submission;0.5
CB Dollaway;Goran Reljic;Middleweight Bout;Decision - Unanimous;1.0
Cain Velasquez;Antonio Rodrigo Nogueira;Heavyweight Bout;KO/TKO;0.5
Mirko Filipovic;Anthony Perosh;Heavyweight Bout;TKO - Doctor's Stoppage;0.5
George Sotiropoulos;Joe Stevenson;Lightweight Bout;Decision - Unanimous;1.0
Ryan Bader;Keith Jardine;Light Heavyweight Bout;KO/TKO;0.5
Wanderlei Silva;Michael Bisping;Middleweight Bout;Decision - Unanimous;1.0
James Te Huna;Igor Pokrajac;Light Heavyweight Bout;KO/TKO;0.5
Demian Maia;Dan Miller;Middleweight Bout;Decision - Unanimous;1.0
Melvin Guillard;Ronys Torres;Lightweight Bout;Decision - Unanimous;1.0
Matt Serra;Frank Trigg;Welterweight Bout;KO/TKO;0.5
Randy Couture;Mark Coleman;Light Heavyweight Bout;Submission;0.5
Mac Danzig;Justin Buchholz;Lightweight Bout;Decision - Unanimous;1.0
Paulo Thiago;Mike Swick;Welterweight Bout;Submission;0.5
Rob Emerson;Phillipe Nover;Lightweight Bout;Decision - Unanimous;1.0
Chael Sonnen;Nate Marquardt;Middleweight Bout;Decision - Unanimous;1.0
Phil Davis;Brian Stann;Light Heavyweight Bout;Decision - Unanimous;1.0
Chris Tuchscherer;Tim Hague;Heavyweight Bout;Decision - Majority;1.0
Joey Beltran;Rolles Gracie;Heavyweight Bout;KO/TKO;0.5
Rick Story;Jesse Lennox;Welterweight Bout;Decision - Split;1.0
Amir Sadollah;Brad Blackburn;Welterweight Bout;Decision - Unanimous;1.0
Aaron Simpson;Tom Lawlor;Middleweight Bout;Decision - Split;1.0
Evan Dunham;Efrain Escudero;Lightweight Bout;Submission;0.5
Rory MacDonald;Mike Guymon;Welterweight Bout;Submission;0.5
Thiago Tavares;Nik Lentz;Lightweight Bout;Decision - Majority;1.0
Chris Leben;Jay Silva;Middleweight Bout;Decision - Unanimous;1.0
Gerald Harris;John Salter;Middleweight Bout;KO/TKO;0.5
Rafael Dos Anjos;Kyle Bradley;Lightweight Bout;Decision - Unanimous;1.0
Nick Catone;Jesse Forbes;Middleweight Bout;Decision - Split;1.0
Jim Miller;Duane Ludwig;Lightweight Bout;Submission;0.5
Martin Kampmann;Jacob Volkmann;Welterweight Bout;Submission;0.5
Cole Miller;Dan Lauzon;Lightweight Bout;Submission;0.5
Paul Daley;Dustin Hazelett;Welterweight Bout;KO/TKO;0.5
Junior Dos Santos;Gilbert Yvel;Heavyweight Bout;KO/TKO;0.5
Sam Stout;Joe Lauzon;Lightweight Bout;Decision - Unanimous;1.0
Rashad Evans;Thiago Silva;Light Heavyweight Bout;Decision - Unanimous;1.0
Mark Munoz;Ryan Jensen;Middleweight Bout;KO/TKO;0.5
Rafaello Oliveira;John Gunderson;Lightweight Bout;Decision - Unanimous;1.0
Jake Ellenberger;Mike Pyle;Welterweight Bout;KO/TKO;0.5
Frank Mir;Cheick Kongo;Heavyweight Bout;Submission;0.5
Johny Hendricks;Ricardo Funch;Welterweight Bout;Decision - Unanimous;1.0
Matt Wiman;Shane Nelson;Lightweight Bout;Decision - Unanimous;1.0
Jon Fitch;Mike Pierce;Welterweight Bout;Decision - Unanimous;1.0
Kenny Florian;Clay Guida;Lightweight Bout;Submission;0.5
Alan Belcher;Wilson Gouveia;Catch Weight Bout;KO/TKO;0.5
Stefan Struve;Paul Buentello;Heavyweight Bout;Decision - Majority;1.0
BJ Penn;Diego Sanchez;UFC Lightweight Title Bout;TKO - Doctor's Stoppage;0.5
Rousimar Palhares;Lucio Linhares;Middleweight Bout;Submission;0.5
DaMarques Johnson;Edgar Garcia;Welterweight Bout;Submission;0.5
TJ Grant;Kevin Burns;Welterweight Bout;KO/TKO;0.5
Matt Hamill;Jon Jones;Light Heavyweight Bout;DQ;2.0
Brian Stann;Rodney Wallace;Light Heavyweight Bout;Decision - Unanimous;1.0
Matt Mitrione;Marcus Jones;Heavyweight Bout;KO/TKO;0.5
Frankie Edgar;Matt Veach;Lightweight Bout;Submission;0.5
James McSweeney;Darrill Schoonover;Heavyweight Bout;KO/TKO;0.5
