R_fighter;B_fighter;Fight_type;win_by;peso_forca_vitoria
Rick Story;Brian Foster;Welterweight Bout;Submission;0.5
Rafael Dos Anjos;Rob Emerson;Lightweight Bout;Decision - Unanimous;1.0
Eliot Marshall;Jason Brilz;Light Heavyweight Bout;Decision - Split;1.0
Vladimir Matyushenko;Igor Pokrajac;Light Heavyweight Bout;Decision - Unanimous;1.0
CB Dollaway;Jay Silva;Middleweight Bout;Decision - Unanimous;1.0
Brian Stann;Steve Cantwell;Light Heavyweight Bout;Decision - Unanimous;1.0
Jeremy Stephens;Justin Buchholz;Lightweight Bout;TKO - Doctor's Stoppage;0.5
Nate Diaz;Melvin Guillard;Lightweight Bout;Submission;0.5
Nate Quarry;Tim Credeur;Middleweight Bout;Decision - Unanimous;1.0
Gray Maynard;Roger Huerta;Lightweight Bout;Decision - Split;1.0
